epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
202,0.0001,271.05929040908813,-312.8604154351556,0.0001,40600,200.0,,,,,,5.1369505,7.147496
203,0.0001,272.4416313171387,-312.7307893025653,0.0001,40800,200.0,,,,,,5.122815,7.320844
204,0.0001,273.82280683517456,-316.25583549670927,0.0001,41000,200.0,,,,,,5.0784183,7.3652687
205,0.0001,274.77185130119324,-293.26243015745825,0.0001,41200,200.0,,,,,,5.108821,7.2585554
206,0.0001,275.7143831253052,-310.4362681825972,0.0001,41400,200.0,,,,,,5.159282,7.227013
207,0.0001,277.09168338775635,-311.0999428760265,0.0001,41600,200.0,,,,,,5.116854,7.4172907
208,0.0001,278.0113625526428,-301.481765156054,0.0001,41800,200.0,,,,,,5.116786,7.2370286
209,0.0001,278.9381015300751,-307.6032389041485,0.0001,42000,200.0,,,,,,5.1299787,7.2599835
210,0.0001,280.30928921699524,-311.8116839556375,0.0001,42200,200.0,,,,,,5.0982,7.4986434
211,0.0001,281.2409198284149,-302.01107826001123,0.0001,42400,200.0,,,,,,5.159926,7.6522923
212,0.0001,282.6180512905121,-310.0505476781212,0.0001,42600,200.0,,,,,,5.093472,7.6487484
213,0.0001,283.5565450191498,-308.9323490035033,0.0001,42800,200.0,,,,,,5.037851,7.5627375
214,0.0001,284.54822158813477,-311.32490976230804,0.0001,43000,200.0,,,,,,5.005214,7.4065495
215,0.0001,285.48051381111145,-309.65805729223047,0.0001,43200,200.0,,,,,,5.046667,7.2118983
216,0.0001,286.4336881637573,-308.5670870007147,0.0001,43400,200.0,,,,,,5.01454,7.4076715
217,0.0001,287.3744866847992,-308.4443561399427,0.0001,43600,200.0,,,,,,5.0057263,7.42563
218,0.0001,288.308349609375,-306.4510652961308,0.0001,43800,200.0,,,,,,4.9980693,7.2219462
219,0.0001,289.30509400367737,-310.93492491030867,0.0001,44000,200.0,,,,,,4.9569473,7.3538866
220,0.0001,290.27811431884766,-310.35147745091916,0.0001,44200,200.0,,,,,,5.028903,7.2331986
221,0.0001,291.64728140830994,-311.03125380514535,0.0001,44400,200.0,,,,,,5.0658913,7.167485
222,0.0001,292.58008885383606,-308.1207388061024,0.0001,44600,200.0,,,,,,5.080504,7.3592544
223,0.0001,293.520135641098,-304.4795420935173,0.0001,44800,200.0,,,,,,5.022797,7.340264
